id,route,kind,source_file,line,snippet,expected_behavior,status,evidence,notes
INT-00424,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,313,onClick={() => scanMut.mutate()},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:313,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00425,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,350,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/60 p-4"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:350,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00426,/media,form,apps/frontend/src/app/(dashboard)/media/page.tsx,351,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:351,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00427,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,351,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:351,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00428,/media,submit-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,351,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:351,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00429,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,354,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:354,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00430,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,354,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:354,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00431,/media,input,apps/frontend/src/app/(dashboard)/media/page.tsx,358,"<input type=""text"" value={name} onChange={(e) => setName(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00432,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,358,"<input type=""text"" value={name} onChange={(e) => setName(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:358,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00433,/media,input,apps/frontend/src/app/(dashboard)/media/page.tsx,362,"<input type=""text"" value={path} onChange={(e) => setPath(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm font-mono focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:362,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00434,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,362,"<input type=""text"" value={path} onChange={(e) => setPath(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm font-mono focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:362,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00435,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,366,"<button type=""button"" onClick={onDelete} className=""rounded-md border border-danger/30 px-4 py-2 text-sm font-medium text-danger hover:bg-danger/5 transition-colors"">Löschen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:366,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00436,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,366,"<button type=""button"" onClick={onDelete} className=""rounded-md border border-danger/30 px-4 py-2 text-sm font-medium text-danger hover:bg-danger/5 transition-colors"">Löschen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:366,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00437,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,367,"<button type=""button"" onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:367,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00438,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,367,"<button type=""button"" onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:367,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00439,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,368,"<button type=""submit"" disabled={mutation.isPending} className=""flex-1 rounded-md bg-brand-500 px-4 py-2 text-sm font-medium text-bg hover:bg-brand-400 disabled:opacity-50 transition-colors"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:368,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00440,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,422,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:422,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00441,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,423,onClick={onCreate},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:423,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00442,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,452,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:452,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00443,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,453,onClick={() => { setSelectedAlbumId(album.id); setSelectedAlbumName(album.name); }},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:453,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00444,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,468,"<button onClick={() => setEditingAlbum(album)} className=""rounded-md p-1 text-fg-muted hover:text-fg hover:bg-bg text-xs transition-colors"" title=""Bearbeiten"">Bearbeiten</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:468,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00445,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,468,"<button onClick={() => setEditingAlbum(album)} className=""rounded-md p-1 text-fg-muted hover:text-fg hover:bg-bg text-xs transition-colors"" title=""Bearbeiten"">Bearbeiten</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:468,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00446,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,469,"<button onClick={() => setShowAddFiles(album.id)} className=""rounded-md p-1 text-fg-muted hover:text-fg hover:bg-bg text-xs transition-colors"" title=""Dateien hinzufügen"">+ Dateien</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:469,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00447,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,469,"<button onClick={() => setShowAddFiles(album.id)} className=""rounded-md p-1 text-fg-muted hover:text-fg hover:bg-bg text-xs transition-colors"" title=""Dateien hinzufügen"">+ Dateien</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:469,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00448,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,470,"<button onClick={() => { if (confirm('Album wirklich löschen?')) deleteAlbumMut.mutate(album.id); }} className=""rounded-md p-1 text-fg-muted hover:text-danger hover:bg-danger/10 text-xs transition-colors ml-auto"" title=""Löschen"">Löschen</bu",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:470,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00449,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,470,"<button onClick={() => { if (confirm('Album wirklich löschen?')) deleteAlbumMut.mutate(album.id); }} className=""rounded-md p-1 text-fg-muted hover:text-danger hover:bg-danger/10 text-xs transition-colors ml-auto"" title=""Löschen"">Löschen</bu",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:470,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00450,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,526,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/60 p-4"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:526,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00451,/media,form,apps/frontend/src/app/(dashboard)/media/page.tsx,527,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:527,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00452,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,527,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:527,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00453,/media,submit-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,527,"<form onClick={(e) => e.stopPropagation()} onSubmit={handleSubmit} className=""w-full max-w-md space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:527,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00454,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,530,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:530,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00455,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,530,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:530,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00456,/media,input,apps/frontend/src/app/(dashboard)/media/page.tsx,534,"<input type=""text"" value={name} onChange={(e) => setName(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:534,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00457,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,534,"<input type=""text"" value={name} onChange={(e) => setName(e.target.value)} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" required />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:534,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00458,/media,textarea,apps/frontend/src/app/(dashboard)/media/page.tsx,538,"<textarea value={description} onChange={(e) => setDescription(e.target.value)} rows={3} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:538,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00459,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,538,"<textarea value={description} onChange={(e) => setDescription(e.target.value)} rows={3} className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-brand-500/50"" />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:538,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00460,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,542,"<button type=""button"" onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:542,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00461,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,542,"<button type=""button"" onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:542,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00462,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,543,"<button type=""submit"" disabled={mutation.isPending} className=""flex-1 rounded-md bg-brand-500 px-4 py-2 text-sm font-medium text-bg hover:bg-brand-400 disabled:opacity-50 transition-colors"">{mutation.isPending ? 'Speichert…' : 'Speichern'}<",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:543,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00463,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,575,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/60 p-4"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:575,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00464,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,576,"<div onClick={(e) => e.stopPropagation()} className=""w-full max-w-2xl max-h-[80vh] space-y-4 rounded-lg border border-border bg-bg-surface p-6 overflow-y-auto"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:576,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00465,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,579,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:579,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00466,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,579,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:579,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00467,/media,input,apps/frontend/src/app/(dashboard)/media/page.tsx,581,"<input type=""text"" value={search} onChange={(e) => setSearch(e.target.value)} placeholder=""Dateiname suchen..."" className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-bran",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:581,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00468,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,581,"<input type=""text"" value={search} onChange={(e) => setSearch(e.target.value)} placeholder=""Dateiname suchen..."" className=""w-full rounded-md border border-border-strong bg-bg px-3 py-2 text-sm focus:outline-none focus:ring-2 focus:ring-bran",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:581,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00469,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,585,<button key={f.id} onClick={() => toggle(f.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:585,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00470,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,585,<button key={f.id} onClick={() => toggle(f.id)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:585,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00471,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,595,"<button onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:595,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00472,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,595,"<button onClick={onClose} className=""flex-1 rounded-md border border-border px-4 py-2 text-sm font-medium text-fg hover:bg-bg transition-colors"">Abbrechen</button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:595,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00473,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,596,<button onClick={() => addMut.mutate(selectedIds)} disabled={selectedIds.length === 0 || addMut.isPending},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:596,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00474,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,596,<button onClick={() => addMut.mutate(selectedIds)} disabled={selectedIds.length === 0 || addMut.isPending},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:596,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00475,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,646,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:646,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00476,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,647,onClick={onBack},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:647,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00477,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,725,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:725,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00478,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,726,onClick={(e) => {,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:726,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00479,/media,select,apps/frontend/src/app/(dashboard)/media/page.tsx,923,<select,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:923,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00480,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,925,onChange={(e) => setSourceFilter(e.target.value)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:925,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00481,/media,input,apps/frontend/src/app/(dashboard)/media/page.tsx,940,"<input type=""text"" value={search} onChange={(e) => setSearch(e.target.value)} placeholder=""Dateiname suchen..."" className=""bg-transparent text-sm text-fg outline-none w-36 placeholder:text-fg-subtle"" />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:940,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00482,/media,change-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,940,"<input type=""text"" value={search} onChange={(e) => setSearch(e.target.value)} placeholder=""Dateiname suchen..."" className=""bg-transparent text-sm text-fg outline-none w-36 placeholder:text-fg-subtle"" />",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:940,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00483,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,941,"{search && <button onClick={() => setSearch('')} className=""text-fg-subtle hover:text-fg""><X className=""h-3 w-3"" /></button>}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:941,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00484,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,941,"{search && <button onClick={() => setSearch('')} className=""text-fg-subtle hover:text-fg""><X className=""h-3 w-3"" /></button>}",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:941,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00485,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,944,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:944,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00486,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,945,onClick={() => setFavoriteFilter((v) => !v)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:945,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00487,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,960,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:960,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00488,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,961,onClick={() => { if (selectMode) clearSelection(); else setSelectMode(true); }},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:961,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00489,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,977,"<button onClick={() => setAddToAlbumId('__select__')} className=""rounded-md bg-brand-500 px-3 py-1 text-xs font-medium text-bg hover:bg-brand-400 transition-colors"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:977,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00490,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,977,"<button onClick={() => setAddToAlbumId('__select__')} className=""rounded-md bg-brand-500 px-3 py-1 text-xs font-medium text-bg hover:bg-brand-400 transition-colors"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:977,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00491,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,980,"<button onClick={clearSelection} className=""text-xs text-fg-muted hover:text-fg transition-colors"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:980,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00492,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,980,"<button onClick={clearSelection} className=""text-xs text-fg-muted hover:text-fg transition-colors"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:980,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00493,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,1068,onClick={() => selectMode ? toggleSelect(file.id) : openLightbox(file)},Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1068,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00494,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,1108,<button,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1108,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00495,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,1109,onClick={(e) => {,Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1109,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00496,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,1203,"<div className=""fixed inset-0 z-50 flex items-center justify-center bg-black/60 p-4"" onClick={onClose}>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1203,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00497,/media,click-handler,apps/frontend/src/app/(dashboard)/media/page.tsx,1204,"<div onClick={(e) => e.stopPropagation()} className=""w-full max-w-sm space-y-4 rounded-lg border border-border bg-bg-surface p-6"">",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1204,Source-inventoried and route rendered; control not individually mutated during safe audit
INT-00498,/media,button,apps/frontend/src/app/(dashboard)/media/page.tsx,1207,"<button type=""button"" onClick={onClose} className=""text-fg-muted hover:text-fg""><X className=""h-5 w-5"" /></button>",Review live behavior and state/API effect,PARTIAL_CODE_ONLY,apps/frontend/src/app/(dashboard)/media/page.tsx:1207,Source-inventoried and route rendered; control not individually mutated during safe audit
